customer_id,purchase_amount,purchase_date,channel,product_category,transaction_type,customer_tier
226,67.45,4/21/2024,Online,Home,Full Price,Bronze
845,188.89,3/31/2024,In-store,Apparel,Full Price,Bronze
615,122.44,6/8/2024,Online,Home,Full Price,Silver
618,67.42,10/23/2023,In-store,Books,Discount,Silver
365,29.8,4/21/2024,In-store,Electronics,Return,Bronze
368,216.22,4/6/2024,Online,Electronics,Full Price,Silver
570,86.04,4/19/2024,In-store,Electronics,Discount,Silver
590,24.99,6/17/2024,Online,Books,Full Price,Gold
75,31.35,4/9/2024,In-store,Books,Return,Silver
42,162.52,8/24/2023,In-store,Electronics,Discount,Silver
422,4.51,7/1/2024,In-store,Electronics,Discount,Silver
836,483.99,2/19/2024,In-store,Apparel,Full Price,Silver
181,13.97,1/25/2024,Online,Apparel,Full Price,Platinum
545,159,10/13/2023,In-store,Groceries,Full Price,Bronze
71,50.22,1/19/2024,In-store,Home,Full Price,Silver
568,67.77,10/14/2023,Online,Apparel,Full Price,Silver
105,212.57,11/14/2023,In-store,Apparel,Full Price,Silver
200,53.26,1/7/2024,In-store,Apparel,Discount,Bronze
101,77.11,6/10/2024,In-store,Apparel,Full Price,Bronze
768,5.06,6/13/2024,In-store,Books,Full Price,Bronze
307,0.24,7/26/2024,In-store,Groceries,Full Price,Bronze
586,28.08,12/21/2023,In-store,Apparel,Full Price,Gold
683,114.13,7/9/2024,Online,Home,Discount,Silver
377,12.93,3/9/2024,In-store,Apparel,Full Price,Bronze
655,12.08,4/13/2024,Online,Books,Full Price,Bronze
678,52.93,1/2/2024,In-store,Electronics,Full Price,Bronze
399,104.37,10/6/2023,Online,Electronics,Discount,Platinum
773,124.5,6/21/2024,Online,Groceries,Full Price,Silver
221,19.66,2/11/2024,Online,Electronics,Return,Platinum
595,8.29,1/28/2024,Online,Apparel,Full Price,Bronze
182,282,12/31/2023,In-store,Books,Discount,Gold
307,30.2,9/30/2023,In-store,Groceries,Full Price,Bronze
522,191.97,6/10/2024,In-store,Apparel,Full Price,Bronze
396,199.14,5/23/2024,Online,Electronics,Full Price,Bronze
4,148.07,1/18/2024,Online,Home,Full Price,Silver
863,18.49,3/3/2024,Online,Apparel,Full Price,Bronze
914,172.49,4/14/2024,Online,Home,Full Price,Silver
848,146.64,4/5/2024,Online,Home,Full Price,Gold
1000,90.81,4/28/2024,Online,Groceries,Full Price,Bronze
804,41.13,11/19/2023,Online,Books,Discount,Bronze
281,30.45,6/18/2024,In-store,Electronics,Discount,Gold
215,13,5/26/2024,Online,Electronics,Full Price,Silver
972,71.29,2/27/2024,In-store,Apparel,Full Price,Gold
610,88.01,9/13/2023,In-store,Electronics,Full Price,Bronze
420,44.53,1/8/2024,Online,Groceries,Full Price,Bronze
101,64.5,11/1/2023,Online,Electronics,Discount,Bronze
963,45.18,2/28/2024,Online,Apparel,Discount,Platinum
521,102.44,2/4/2024,Online,Electronics,Full Price,Gold
573,231.53,6/2/2024,In-store,Books,Full Price,Platinum
309,17.9,5/19/2024,Online,Home,Discount,Silver
658,48.03,6/13/2024,In-store,Home,Full Price,Gold
939,15.18,11/4/2023,Online,Home,Full Price,Silver
931,98.07,5/20/2024,In-store,Books,Discount,Silver
510,130.52,1/18/2024,In-store,Groceries,Full Price,Gold
63,268.7,2/4/2024,In-store,Apparel,Full Price,Bronze
633,32.69,6/14/2024,In-store,Books,Discount,Bronze
226,300,5/21/2024,In-store,Apparel,Full Price,Bronze
105,6.54,4/10/2024,Online,Groceries,Discount,Gold
974,92.39,11/30/2023,Online,Books,Full Price,Bronze
772,5.88,9/27/2023,Online,Electronics,Discount,Bronze
861,224.22,2/24/2024,In-store,Groceries,Discount,Platinum
425,75.46,11/1/2023,Online,Home,Full Price,Bronze
255,110.67,11/7/2023,In-store,Books,Discount,Bronze
429,178.13,10/2/2023,In-store,Groceries,Discount,Silver
434,16.29,7/2/2024,Online,Groceries,Full Price,Gold
207,3.94,4/26/2024,In-store,Books,Discount,Bronze
28,211.1,11/24/2023,Online,Home,Return,Silver
682,37.82,7/25/2024,In-store,Home,Full Price,Bronze
336,13.81,5/1/2024,Online,Groceries,Full Price,Silver
588,63.2,4/10/2024,In-store,Apparel,Full Price,Bronze
628,91.21,11/16/2023,Online,Groceries,Full Price,Bronze
69,3.15,4/16/2024,Online,Books,Full Price,Silver
866,32.14,5/30/2024,In-store,Books,Full Price,Platinum
746,3.33,8/9/2023,In-store,Books,Full Price,Gold
513,54.53,11/4/2023,In-store,Home,Full Price,Platinum
167,225.47,1/15/2024,Online,Electronics,Full Price,Silver
864,405.43,8/20/2023,Online,Books,Full Price,Bronze
730,101.35,8/30/2023,In-store,Books,Full Price,Bronze
785,17.63,3/8/2024,Online,Apparel,Discount,Platinum
368,236.29,6/1/2024,Online,Apparel,Full Price,Silver
251,72.62,4/3/2024,In-store,Groceries,Full Price,Platinum
859,16.69,6/1/2024,Online,Groceries,Full Price,Bronze
856,254.75,9/27/2023,Online,Groceries,Full Price,Bronze
931,141.66,7/6/2024,Online,Books,Full Price,Bronze
686,131.57,4/8/2024,In-store,Apparel,Discount,Bronze
170,123.51,6/22/2024,Online,Groceries,Full Price,Bronze
758,22.36,8/23/2023,In-store,Apparel,Return,Silver
935,23.7,4/7/2024,Online,Books,Full Price,Silver
90,116.57,3/18/2024,Online,Books,Full Price,Bronze
561,24.81,10/29/2023,Online,Groceries,Discount,Bronze
446,57.74,10/7/2023,Online,Books,Discount,Gold
294,152.33,7/11/2024,Online,Books,Discount,Silver
919,153.23,7/1/2024,In-store,Apparel,Return,Silver
150,60.38,11/28/2023,Online,Electronics,Full Price,Silver
132,157.11,7/5/2024,Online,Home,Discount,Gold
433,182.4,5/20/2024,Online,Groceries,Full Price,Silver
59,106.36,4/26/2024,Online,Electronics,Discount,Platinum
969,25.93,2/22/2024,In-store,Groceries,Full Price,Silver
836,32.02,8/21/2023,Online,Electronics,Full Price,Bronze
199,37.81,10/6/2023,Online,Books,Discount,Bronze
215,12.42,10/7/2023,Online,Groceries,Full Price,Silver
898,31.9,10/19/2023,Online,Electronics,Full Price,Silver
561,23.51,1/2/2024,In-store,Home,Full Price,Silver
472,60.76,5/17/2024,In-store,Books,Discount,Bronze
744,239.07,3/11/2024,Online,Groceries,Discount,Silver
247,11.04,6/28/2024,Online,Groceries,Discount,Gold
382,127.39,8/31/2023,Online,Electronics,Discount,Silver
991,116.25,7/28/2024,Online,Groceries,Full Price,Silver
239,10.07,9/8/2023,Online,Books,Full Price,Platinum
927,255.84,4/25/2024,In-store,Apparel,Full Price,Silver
367,84.04,12/28/2023,In-store,Electronics,Full Price,Bronze
168,45.21,7/4/2024,Online,Home,Full Price,Gold
560,141.28,1/13/2024,Online,Groceries,Full Price,Bronze
51,29.76,11/2/2023,Online,Books,Full Price,Gold
811,118.26,9/22/2023,In-store,Groceries,Discount,Bronze
610,4.05,3/27/2024,Online,Home,Full Price,Bronze
951,182.89,1/12/2024,Online,Books,Discount,Bronze
728,59.45,7/23/2024,In-store,Home,Discount,Bronze
689,101.25,10/19/2023,In-store,Books,Discount,Bronze
380,25,5/5/2024,Online,Apparel,Return,Bronze
474,113.03,9/18/2023,Online,Books,Full Price,Gold
80,147.95,7/13/2024,Online,Home,Discount,Gold
697,64.1,5/12/2024,Online,Electronics,Discount,Gold
367,96.16,4/16/2024,In-store,Apparel,Full Price,Gold
461,60.94,9/25/2023,In-store,Groceries,Discount,Silver
911,224.52,12/15/2023,Online,Apparel,Full Price,Gold
539,68.89,4/11/2024,In-store,Apparel,Full Price,Silver
452,184.4,12/25/2023,Online,Groceries,Full Price,Silver
464,161.62,3/31/2024,In-store,Books,Return,Gold
960,52.85,12/1/2023,Online,Apparel,Discount,Bronze
478,26.15,2/5/2024,Online,Apparel,Discount,Gold
926,52.1,5/28/2024,In-store,Electronics,Discount,Silver
420,175,7/29/2024,In-store,Electronics,Full Price,Bronze
707,25.83,1/7/2024,In-store,Home,Full Price,Bronze
214,74.33,7/11/2024,In-store,Groceries,Discount,Bronze
369,164.04,10/13/2023,In-store,Books,Full Price,Gold
854,43.61,7/17/2024,Online,Books,Full Price,Platinum
114,102.78,8/24/2023,Online,Home,Full Price,Bronze
754,28.19,1/8/2024,In-store,Books,Full Price,Bronze
503,11.57,1/12/2024,Online,Books,Discount,Bronze
636,158.17,4/3/2024,Online,Electronics,Full Price,Gold
817,10.42,3/17/2024,Online,Books,Discount,Bronze
588,31.66,10/6/2023,Online,Books,Discount,Platinum
311,193.18,10/11/2023,In-store,Home,Full Price,Silver
469,42.54,7/7/2024,Online,Home,Full Price,Gold
824,361.36,9/24/2023,Online,Apparel,Full Price,Silver
708,389.88,12/11/2023,Online,Books,Return,Silver
863,31.24,4/2/2024,Online,Books,Full Price,Silver
44,4.18,5/3/2024,In-store,Books,Full Price,Gold
415,122.1,9/16/2023,Online,Electronics,Discount,Gold
698,59.96,1/14/2024,Online,Books,Full Price,Silver
855,10.62,2/3/2024,Online,Electronics,Return,Silver
246,122.94,8/22/2023,In-store,Apparel,Discount,Platinum
949,3.17,5/17/2024,In-store,Groceries,Full Price,Platinum
84,204.17,3/17/2024,Online,Books,Discount,Silver
207,14.93,3/16/2024,Online,Home,Full Price,Bronze
151,13.62,7/22/2024,In-store,Home,Discount,Bronze
668,19.32,1/13/2024,Online,Books,Discount,Gold
528,322.56,9/18/2023,In-store,Electronics,Full Price,Bronze
165,118.15,8/21/2023,Online,Home,Full Price,Bronze
917,161.63,12/26/2023,Online,Home,Return,Bronze
975,50.69,6/2/2024,In-store,Apparel,Full Price,Silver
145,40.99,3/7/2024,Online,Apparel,Discount,Silver
37,26.72,4/16/2024,Online,Apparel,Full Price,Bronze
333,65.52,6/24/2024,Online,Home,Full Price,Bronze
403,80.26,3/20/2024,In-store,Home,Discount,Gold
414,99.91,12/24/2023,In-store,Books,Full Price,Platinum
